Place,Address,Coordinates,Place ID
Woodland Hospital,"Woodland Hospital, Rothwell Rd, Rothwell, Kettering NN16 8XF, United Kingdom","{'lat': 52.412007, 'lng': -0.7680817}",ChIJ0WOfCTCed0gRVDE-Sr-D6w4
Boston West Hospital,"West Business Park, Sleaford Rd, Boston PE21 8EG, United Kingdom","{'lat': 52.9750481, 'lng': -0.0338935}",ChIJ3VOnhjMKeEgRxNwsbUbRipg
Clifton Park Hospital Ltd,"Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","{'lat': 53.9784342, 'lng': -1.1136217}",ChIJV_k_-2kxeUgR3bEecm5-Vxs
Cobalt Hospital,"North, 16 The Silverlink North Silverlink, Newcastle upon Tyne NE27 0BY, United Kingdom","{'lat': 55.0279581, 'lng': -1.5108802}",ChIJHeV6IR1ufkgRs7VbmAaVGHY
Blakelands Hospital,"Smeaton Cl, Blakelands, Milton Keynes MK14 5HR, United Kingdom","{'lat': 52.0740742, 'lng': -0.7434636}",ChIJV3nhB0Oqd0gRCI94a4SK9v4
Woodthorpe Hospital,"748 Mansfield Rd, Woodthorpe, Nottingham NG5 3FZ, United Kingdom","{'lat': 52.9904391, 'lng': -1.1388946}",ChIJZVGSywTBeUgRwGBEJ3ZVeyI
The Westbourne Centre,"53 Church Rd, Birmingham B15 3SJ, United Kingdom","{'lat': 52.46702879999999, 'lng': -1.9225854}",ChIJ-wMXQVG8cEgRiJmlMa3WVms
Fairfield General Hospital,"Rochdale Old Rd, Bury BL9 7TD, United Kingdom","{'lat': 53.6004438, 'lng': -2.2548069}",ChIJm_J6zzu7e0gRu0zajyYbgxs
Cobham Day Surgery,"168 Portsmouth Rd, Cobham KT11 1HT, United Kingdom","{'lat': 51.334767, 'lng': -0.4079614}",ChIJP_HZGpDfdUgRqe3n8atjRVc
Old Town Surgery,"14 Curie Ave, Okus, Swindon SN1 4GB, United Kingdom","{'lat': 51.5501504, 'lng': -1.7961127}",ChIJ7ymjEmdEcUgRSuX7yETpMV4
Hathaway Medical Centre,"Middlefield Rd, Chippenham SN14 6GT, United Kingdom","{'lat': 51.4676014, 'lng': -2.1394249}",ChIJdepCVe56cUgRj1QXK-qL81I
Middleport Medical Centre.,"Newport Ln, Stoke-on-Trent ST6 3NP, United Kingdom","{'lat': 53.04128069999999, 'lng': -2.2065161}",ChIJ8awfob1CekgRx7XcPpYXvL4
Great Western Hospital,"Marlborough Rd, Swindon SN3 6BB, United Kingdom","{'lat': 51.5386277, 'lng': -1.727874}",ChIJa2MyBnxFcUgRc9Cn11z7-Ac
"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel","One West St, Pittsfield, MA 01201, United States","{'lat': 42.44787400000001, 'lng': -73.255357}",ChIJ9U3rbjhO54kRT7U61rYitD4
White Horse Health Centre,"Mane Way, Westbury BA13 3FQ, United Kingdom","{'lat': 51.2526577, 'lng': -2.2031742}",ChIJ84PuJCLUc0gRQ2jsai0nHj8
BHI Parkside,"Stourbridge Rd, Bromsgrove B61 0AZ, United Kingdom","{'lat': 52.3374742, 'lng': -2.0596683}",ChIJWbuk_FHrcEgR5uBh2-x7Z_I
Lawn Medical Centre,"Guildford Ave, Lawn, Swindon SN3 1JL, United Kingdom","{'lat': 51.5476848, 'lng': -1.7614115}",ChIJ6w2sPalFcUgRyXLqyw00u6w
Pain Management Solutions,"3 Vine Terrace, Hucknall, Nottingham NG15 7HN, United Kingdom","{'lat': 53.0371521, 'lng': -1.2012269}",ChIJx_GOsgHAeUgRwR_NAr8DIfA
Nuffield Health The Holly Hospital,"High Rd, Buckhurst Hill IG9 5HX, United Kingdom","{'lat': 51.6244266, 'lng': 0.0320593}",ChIJZexZIemg2EcR9bPpzZhL620
Nuffield Health Parkside Hospital,"53 Parkside, London SW19 5NX, United Kingdom","{'lat': 51.4357845, 'lng': -0.2238555}",ChIJ948V4y0PdkgR0V27hfs56xA
Highgate Private Hospital,"17-19 View Rd, London N6 4DJ, United Kingdom","{'lat': 51.5764997, 'lng': -0.1568464}",ChIJmybxDUcadkgRSOVAjdPYIiM
Spire Claremont Hospital,"401 Sandygate Rd, Sheffield S10 5UB, United Kingdom","{'lat': 53.37559109999999, 'lng': -1.5351724}",ChIJR8tMDvyBeUgRQCQQTCMKwtU
Midland Eye,"50 Lode Ln, Birmingham, Solihull B91 2AW, United Kingdom","{'lat': 52.4196111, 'lng': -1.7758265}",ChIJp0bsgFi3cEgRwCnabVOSGVQ
Care At Home Group Warrington,"Unit W1, Warrington Business Park, Long Ln, Warrington WA2 8TX, United Kingdom","{'lat': 53.40607139999999, 'lng': -2.5857815}",ChIJ30RX07EBe0gR7ioaUlUpKy0
Let's Go Tees Valley,"Town Hall, Feethams, Darlington DL1 5QT, United Kingdom","{'lat': 54.52357629999999, 'lng': -1.5528357}",ChIJ0-Oe98-bfkgRmPNVOQiEPvE
Community Mental Health North West Area Team,"Macartney House, Beech Mount, Harpurhey, Manchester M9 5XS, United Kingdom","{'lat': 53.51037609999999, 'lng': -2.2165637}",ChIJBxPzh1ewe0gRHRtlg-rk60s
Lancashire Football Association,"County Ground, Thurston Rd, Leyland PR25 2LF, United Kingdom","{'lat': 53.6932704, 'lng': -2.6937927}",ChIJo20bKEUNe0gRrqn2LmiE8Ck
Merseyside Youth Association Ltd,"65-67 Hanover St, Liverpool L1 3DY, United Kingdom","{'lat': 53.404081, 'lng': -2.982772}",ChIJr-xTlyUhe0gRzKELVRc2Vik
Northumberland Tyne & Wear Nhs Foundation Trust,"1 Meadow Court Cherry Knowle Hpt, Ryhope, Sunderland SR2 0NB, United Kingdom","{'lat': 54.8603383, 'lng': -1.3710537}",ChIJ76hDL0phfkgRoo9zZg0MIRM
South Yorkshire and Bassetlaw Integrated Care System,"722 Prince of Wales Rd, Darnall, Sheffield S9 4EU, United Kingdom","{'lat': 53.3828661, 'lng': -1.4104544}",ChIJJYnrouJ3eUgRiIoPxhaGozc
Team Morley,"Peasehill Rd, Peasehill, Ripley DE6 3JN, United Kingdom","{'lat': 53.0426971, 'lng': -1.3964596}",ChIJfX_zu0OTeUgRsSl2jmMtMdU
NHS England East Anglia,"Capital Park, Fulbourn, Cambridge CB21 5XA, United Kingdom","{'lat': 52.1851128, 'lng': 0.1918373}",ChIJf5bsoKx62EcR_1PuxBRSS7k
Crisis Resolution Home Treatment Team,"The Linden Centre, Puddings Wood Drive, Broomfield, Chelmsford CM1 7LF, United Kingdom","{'lat': 51.77679329999999, 'lng': 0.4611999}",ChIJcQZWLQ7s2EcR7URTy-8AlUY
Greater Lincolnshire LEP,"Lancaster House, 36 Orchard St, Lincoln LN1 1XX, United Kingdom","{'lat': 53.2318229, 'lng': -0.5443196}",ChIJVVVVVShbeEgRxjAZino8R7M
NHS Cornwall and Isles of Scilly,"Room 210, Cornwall Council offices, 39 Penwinnick Rd, Saint Austell PL25 5DR, United Kingdom","{'lat': 50.333519, 'lng': -4.7979055}",ChIJiTv1ttFva0gRItpSfPDCcrk
Surrey and Borders Partnership NHS Foundation Trust,"Mole Business Park, 18, off Ronson Way, Randalls Rd, Leatherhead KT22 7AD, United Kingdom","{'lat': 51.2976987, 'lng': -0.335946}",ChIJ824XWfrgdUgRHTLcDnMripk
People First Thames Valley Office,"Rourke House, The Causeway, Staines TW18 3BA, United Kingdom","{'lat': 51.4330582, 'lng': -0.5177035999999999}",ChIJFb8dMypxdkgRWPcsKkeOZY8
Wessex Youth Offending Team,"Civic Offices, Civic Way, Fareham PO16 7AZ, United Kingdom","{'lat': 50.8539709, 'lng': -1.175042}",ChIJq0xja5FodEgRudPHh9CRpAs
Team London Bridge,"8 Holyrood St, London SE1 2EL, United Kingdom","{'lat': 51.503373, 'lng': -0.0820468}",ChIJr6t3UkYDdkgRiVH6zBKqIVk
Solent NHS Trust,"HighPoint Venue, Bursledon Rd, Southampton SO19 8BR, United Kingdom","{'lat': 50.9017822, 'lng': -1.3307164}",ChIJ4TMh7iJeeUgR_Qj23VwMKhY
Royal Surrey County Hospital,"Egerton Rd, Guildford GU2 7XX, United Kingdom","{'lat': 51.2411243, 'lng': -0.6085178}",ChIJaeJZGyDRdUgRBrjYCI_PGGg
"Barking, Havering And Redbridge University Hospitals Nhs Trust","4 Lyon Rd, Romford RM1 2BA, United Kingdom","{'lat': 51.5685497, 'lng': 0.1832033}",ChIJ2zeizTK72EcRk7ZNeECSFmE
Lewisham And Greenwich Nhs Trust,"32 Rushey Grn, London SE6 4JF, United Kingdom","{'lat': 51.4496401, 'lng': -0.017708}",ChIJ__9PgBQCdkgRJRGTfk-PTfE
Midlands Partnership NHS Foundation Trust,"Trust Headquarters, Corporation St, Stafford ST16 3SR, United Kingdom","{'lat': 52.8105646, 'lng': -2.1091147}",ChIJRWDNW65xekgRmm6XNe903_4
Merseycare Whalley,"Mitton Rd, Whalley, Clitheroe BB7 9PE, United Kingdom","{'lat': 53.8295744, 'lng': -2.4237503}",ChIJNfkwl2ice0gRd5pz6tsLN0o
The Robert Jones and Agnes Hunt Orthopaedic Hospital,"Gobowen, Oswestry SY10 7AG, United Kingdom","{'lat': 52.88446709999999, 'lng': -3.0335905}",ChIJ1yqdRHu6ekgRrefqLuUMlcE
University Hospital of South Manchester,"Diabetics Centre Wythenshawe, Manchester M23 9LT, United Kingdom","{'lat': 53.38883209999999, 'lng': -2.293175}",ChIJEy4IoD2te0gRbOo4YnF38l4
Doncaster & Bassetlaw Hospitals NHS Trust,"Armthorpe Rd, Doncaster DN2 5LT, United Kingdom","{'lat': 53.53076249999999, 'lng': -1.1096038}",ChIJkdYbrxQOeUgRM2b8UJTf2yg
"Southend University Hospital, Mid and South Essex NHS Foundation Trust","Prittlewell Chase, Westcliff-on-Sea, Southend-on-Sea, Westcliff-on-Sea SS0 0RY, United Kingdom","{'lat': 51.5538593, 'lng': 0.6877327999999999}",ChIJJ0ju_qDZ2EcRWxx2iTqQAjY
Bensham Hospital,"Fontwell Dr, Gateshead NE8 4YL, United Kingdom","{'lat': 54.9447057, 'lng': -1.6155638}",ChIJ30wFKAJ6fkgRy_9_tzoYZEs
Humber Teaching NHS Foundation Trust,"Trust Headquarters Willerby Hill, Willerby HU10 6ED, United Kingdom","{'lat': 53.7726879, 'lng': -0.4458797}",ChIJu1gbPnvJeEgRj5vb6Xy71a4
Mersey Care NHS Trust,"Parkbourn, Liverpool L31 1HW, United Kingdom","{'lat': 53.5208904, 'lng': -2.9144619}",ChIJg-Htwa8ie0gRH5hTS7KaWY0
Sussex Partnership NHS Foundation Trust,"1 Twisleton Court, Priory Hill, Dartford DA1 2EN, United Kingdom","{'lat': 51.4459373, 'lng': 0.2105834}",ChIJQdAHuJql2EcRMHKPZxWTGaw
Northumberland Tyne & Wear NHS Trust,"3 Walker Terrace, Gateshead NE8 1EB, United Kingdom","{'lat': 54.9610223, 'lng': -1.6047497}",ChIJk6s-WqVwfkgRVFK4bv9BBIk
Thornbury Hospital,"312 Fulwood Rd, Sheffield S10 3BR, United Kingdom","{'lat': 53.3741721, 'lng': -1.5173953}",ChIJ_w-6wA6CeUgRjG4553wKFHw
Trafford General Hospital,"Moorside Road, Davyhulme, Manchester M41 5SL, United Kingdom","{'lat': 53.4537091, 'lng': -2.3705671}",ChIJUxUEflWpe0gRp9wkVyqcxxY
St Peter's Hospital,"Guildford Rd, Lyne, Chertsey KT16 0PZ, United Kingdom","{'lat': 51.3769285, 'lng': -0.5287478999999999}",ChIJc2UTHbB3dkgRq1_UD12JnwI
Hendon Hospital,"46/50 Sunny Gardens Rd, London NW4 1RP, United Kingdom","{'lat': 51.5938076, 'lng': -0.224709}",ChIJG3TaHNIQdkgRjjREh2VjZCE
The Priory Hospital,"Priory Rd, Birmingham B5 7UG, United Kingdom","{'lat': 52.45606799999999, 'lng': -1.9127805}",ChIJuTwd90a8cEgR42iWIhtjwCY
"Practice Plus Group Hospital, Plymouth","20 Brest Rd, Plymouth PL6 5XP, United Kingdom","{'lat': 50.4125376, 'lng': -4.118632499999999}",ChIJo3gztRftbEgROcax9wRC0pk
Bowen Island Community School,"1041 Mt Gardner Rd, Bowen Island, BC V0N 1G2, Canada","{'lat': 49.3814217, 'lng': -123.3422529}",ChIJlWjTubNrhlQRdIYF7ug7oeU
"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel","One West St, Pittsfield, MA 01201, United States","{'lat': 42.44787400000001, 'lng': -73.255357}",ChIJ9U3rbjhO54kRT7U61rYitD4
White Horse Health Centre,"Mane Way, Westbury BA13 3FQ, United Kingdom","{'lat': 51.2526577, 'lng': -2.2031742}",ChIJ84PuJCLUc0gRQ2jsai0nHj8
BHI Parkside,"Stourbridge Rd, Bromsgrove B61 0AZ, United Kingdom","{'lat': 52.3374742, 'lng': -2.0596683}",ChIJWbuk_FHrcEgR5uBh2-x7Z_I
North Cotswolds Hospital,"Stow Rd, Moreton-in-Marsh GL56 0DS, United Kingdom","{'lat': 51.9835429, 'lng': -1.7077159}",ChIJAxZFGjQocUgRmpz__RElLh4
Pain Management Solutions,"730 Executive Park Dr, Greenwood, IN 46143, United States","{'lat': 39.6048376, 'lng': -86.11060409999999}",ChIJSb1ePGFda4gRZhRX4agiwAw
Waterman Aspen,"18-22 Springfield Rd, Chelmsford CM2 6FA, United Kingdom","{'lat': 51.732176, 'lng': 0.4756578}",ChIJ_0_OTAzp2EcRWUxDMcyiO3o
Care At Home Group Warrington,"Unit W1, Warrington Business Park, Long Ln, Warrington WA2 8TX, United Kingdom","{'lat': 53.40607139999999, 'lng': -2.5857815}",ChIJ30RX07EBe0gR7ioaUlUpKy0
Northumberland Tyne & Wear Nhs Foundation Trust,"1 Meadow Court Cherry Knowle Hpt, Ryhope, Sunderland SR2 0NB, United Kingdom","{'lat': 54.8603383, 'lng': -1.3710537}",ChIJ76hDL0phfkgRoo9zZg0MIRM
NHS West and South Yorkshire and Bassetlaw Commissioning Support Unit,"722 Prince of Wales Rd, Darnall, Sheffield S9 4EU, United Kingdom","{'lat': 53.3830549, 'lng': -1.4104474}",ChIJ4UGHo-J3eUgRTgneB8djunM
Birmingham & Black Country Wildlife Trust,"Centre of the Earth, 42 Norman St, Birmingham B18 7EP, United Kingdom","{'lat': 52.4912558, 'lng': -1.9345876}",ChIJRelcila8cEgR3eZgz69lLq0
Team Morley,"Peasehill Rd, Peasehill, Ripley DE6 3JN, United Kingdom","{'lat': 53.0426971, 'lng': -1.3964596}",ChIJfX_zu0OTeUgRsSl2jmMtMdU
Greater Lincolnshire LEP,"Lancaster House, 36 Orchard St, Lincoln LN1 1XX, United Kingdom","{'lat': 53.2318229, 'lng': -0.5443196}",ChIJVVVVVShbeEgRxjAZino8R7M
Shropshire Web Team,"8 Shoplatch, Shrewsbury SY1 1HF, United Kingdom","{'lat': 52.7075825, 'lng': -2.7554411}",ChIJAUBuulCeekgRFsQ25jbekmU
Cornwall & Isles of Scilly Adoption Agency,"Old County Hall, Truro TR1 3AY, United Kingdom","{'lat': 50.2614721, 'lng': -5.066741599999999}",ChIJI3mKjbYXa0gRyLYSkzW5oYo
Surrey and Borders Partnership NHS Foundation Trust,"Mole Business Park, 18, off Ronson Way, Randalls Rd, Leatherhead KT22 7AD, United Kingdom","{'lat': 51.2976987, 'lng': -0.335946}",ChIJ824XWfrgdUgRHTLcDnMripk
"Barking, Havering And Redbridge University Hospitals Nhs Trust","4 Lyon Rd, Romford RM1 2BA, United Kingdom","{'lat': 51.5685497, 'lng': 0.1832033}",ChIJ2zeizTK72EcRk7ZNeECSFmE
Lewisham And Greenwich Nhs Trust,"32 Rushey Grn, London SE6 4JF, United Kingdom","{'lat': 51.4496401, 'lng': -0.017708}",ChIJ__9PgBQCdkgRJRGTfk-PTfE
The Robert Jones and Agnes Hunt Orthopaedic Hospital,"Gobowen, Oswestry SY10 7AG, United Kingdom","{'lat': 52.88446709999999, 'lng': -3.0335905}",ChIJ1yqdRHu6ekgRrefqLuUMlcE
Doncaster & Bassetlaw Hospitals NHS Trust,"Armthorpe Rd, Doncaster DN2 5LT, United Kingdom","{'lat': 53.53076249999999, 'lng': -1.1096038}",ChIJkdYbrxQOeUgRM2b8UJTf2yg
Tetbury Hospital Trust Ltd,"Malmesbury Road, Tetbury GL8 8XB, United Kingdom","{'lat': 51.63519549999999, 'lng': -2.1546415}",ChIJhdwHgFVxcUgRGUpwM702BW0
Newmedica Eye Health Clinic & Surgical Centre - Barlborough,"Unit 1B Midland Pl, Midland Way, Barlborough, Chesterfield S43 4FR, United Kingdom","{'lat': 53.28237379999999, 'lng': -1.2917022}",ChIJvYf8kjuZeUgRUwUhqWFD4S0
KIMS Hospital,"Newnham Ct Way, Weavering, Maidstone ME14 5FT, United Kingdom","{'lat': 51.2861327, 'lng': 0.5565371000000001}",ChIJQcoLb3Qy30cR8EDWWiao5fc
Sussex MSK Partnership Central,"177 Preston Rd, Brighton and Hove, Brighton BN1 6AG, United Kingdom","{'lat': 50.8385956, 'lng': -0.1482994}",ChIJJdpoOnuFdUgRoaNzieTaB6M
Haslemere Community Hospital (Inpatient Services),"Church Ln, Haslemere GU27 2BJ, United Kingdom","{'lat': 51.0924965, 'lng': -0.7068443}",ChIJByz4dH3LdUgRZ9hzvYGH3fA
Milford Hospital,"Tuesley Ln, Godalming GU7 1UG, United Kingdom","{'lat': 51.16735019999999, 'lng': -0.6256138}",ChIJyzCvIyPOdUgRx2b3mYCZk0s
Gravesham Community Hospital,"Bath St, Gravesend DA11 0DG, United Kingdom","{'lat': 51.4430661, 'lng': 0.3654873}",ChIJ77yt9Bq22EcRmHoCWBEkfBo
Livingstone Community Hospital,"East Hill, Dartford DA1 1SA, United Kingdom","{'lat': 51.4422541, 'lng': 0.2268673}",ChIJZ4DjFZux2EcR62C0b1rcrcw
Aldeburgh Community Hospital,"Park Rd, Aldeburgh IP15 5ES, United Kingdom","{'lat': 52.1522621, 'lng': 1.5955434}",ChIJ93ak2kQo2kcRDc7Mih4MdgE
Bluebird Lodge,"100 Mansbrook Blvd, Ipswich IP3 9GJ, United Kingdom","{'lat': 52.0258285, 'lng': 1.1993757}",ChIJMQbei5uf2UcRioW83EzLrik
Newmarket Community Hospital,"Exning Rd, Newmarket CB8 7JG, United Kingdom","{'lat': 52.2506838, 'lng': 0.3999323}",ChIJb_SQBW5C2EcRodDPfES199w
Standard Health,"6, 43 Bedford St, London WC2E 9HA, United Kingdom","{'lat': 51.5102214, 'lng': -0.1238244}",ChIJzXGlBcwEdkgRP6xXixS8lQA
The Peter Smith Surgery Centre,"Queen Elizabeth Hospital, Gateshead NE9 6SX, United Kingdom","{'lat': 54.937537, 'lng': -1.5801825}",ChIJaeDGq296fkgRSx5c_NdyEtM
Spencer Private Hospital,"Spencer Private Hospital, Ramsgate Rd, Margate CT9 4BG, United Kingdom","{'lat': 51.3772355, 'lng': 1.3879838}",ChIJyzKVCQlT2UcRQdJNQF3LGug
SpaMedica,"Ground Floor, Heights, Manton Ln, Brickhill Dr, Entrance, Bedford MK41 7PH, United Kingdom","{'lat': 52.1508282, 'lng': -0.4744544000000001}",ChIJe6jwB_i3d0gRfkujOR-68wQ
SpaMedica,"Liverpool Innovation Park, Ground Floor, Rathbone, 360 Edge Ln, Liverpool L7 9NN, United Kingdom","{'lat': 53.4088765, 'lng': -2.9300183}",ChIJFQR6sjMhe0gR_Dq8-geZemA
Darent Valley Hospital,"Darenth Wood Rd, Dartford DA2 8DA, United Kingdom","{'lat': 51.4353592, 'lng': 0.2586714}",ChIJsY-yHV6x2EcRB0txudCyNng
Tavistock Hospital,"Spring Hill, Tavistock PL19 8LD, United Kingdom","{'lat': 50.5470824, 'lng': -4.153760699999999}",ChIJea0v6Mj0bEgR0xZAJVX5icE
South Hams District,"South Hams District, UK","{'lat': 50.4102244, 'lng': -3.8009332}",ChIJZ_2DiwPkbEgREHPsoi2uDgQ
Spire Yale Hospital,"Wrexham Technology Park, Croesnewydd Rd, Wrexham LL13 7YP, United Kingdom","{'lat': 53.047836, 'lng': -3.0153138}",ChIJZ7KSkgDHekgRO-oUnCDOSlA
St Anthony's Hospital,"801 London Rd, Worcester Park, Sutton SM3 9DW, United Kingdom","{'lat': 51.3794535, 'lng': -0.2206613}",ChIJiSBXwVoIdkgRy1jdVTjxVaU
The Edgbaston Hospital,"22 Somerset Rd, Birmingham B15 2QD, United Kingdom","{'lat': 52.45782, 'lng': -1.932901}",ChIJWeRLeLO9cEgRr_Zaz-_o2Qs
St Edmunds Hospital,"St Mary's Square, Bury Saint Edmunds IP33 2AA, United Kingdom","{'lat': 52.2401792, 'lng': 0.7190261}",ChIJu9UelFBM2EcR0ng1ckY3ADQ
The Duchy Hospital,"Queen's Road, Harrogate HG2 0HF, United Kingdom","{'lat': 53.987492, 'lng': -1.5478096}",ChIJpVImClhReUgRPmS1Fhw_9ys
The Huddersfield Hospital,"Birkby Hall Rd, Huddersfield HD2 2BL, United Kingdom","{'lat': 53.6589926, 'lng': -1.8001838}",ChIJp0MgAF7ce0gR8lneAq0xuJU
The Lancaster Hospital,"Meadowside, Lancaster LA1 3RH, United Kingdom","{'lat': 54.0432764, 'lng': -2.79546}",ChIJddi0vYdie0gRLFYCePm3Hws
The Lincoln Hospital,"Nettleham Rd, Lincoln LN2 1QU, United Kingdom","{'lat': 53.23843, 'lng': -0.5331096}",ChIJxRmAxBRbeEgRaliesOY3Uns
Mount Alvernia Hospital,"Harvey Rd, Guildford GU1 3LX, United Kingdom","{'lat': 51.23573039999999, 'lng': -0.564307}",ChIJ_-XDm57QdUgRkNerNBCvxxE
Southend Private Hospital,"15-17 Fairfax Dr, Westcliff-on-Sea, Southend-on-Sea, Westcliff-on-Sea SS0 9AG, United Kingdom","{'lat': 51.5506517, 'lng': 0.7018616999999999}",ChIJ14b5y6jZ2EcRG5cB1AXAPjM
BMI Gisburne Park Hospital,"Park Rd, Clitheroe BB7 4HX, United Kingdom","{'lat': 53.9432619, 'lng': -2.267455}",ChIJVU0dYgiPe0gRzwil8r4HkZo
Ossett Surgery,"Ossett Health Village, Kingsway, Ossett WF5 8DF, United Kingdom","{'lat': 53.6814684, 'lng': -1.5816076}",ChIJl96gDh1heUgRtcXmQ836y6c
